,log2FC,p-value
ACTL8,2.815478136814018,0.000717090464535131
C15orf38-AP3S2,5.5996400665359305,0.05986359897983961
C9orf173,2.5416845621776654,0.0008547976961107366
DSG2,2.0670769839035397,0.0002423864116183209
FGF5,2.767590557519827,0.0006919479497230534
GRIFIN,5.938906901422082,0.11140057871267948
HSH2D,3.113939574348144,0.0006938717721516998
PAK6,3.017387181339807,3.533993889824314e-05
TEKT5,3.561765032654435,0.0009606882741640046
UBQLNL,3.1661255621643645,0.0003878446485745774
UGT1A5,2.242165839439193,0.0003641459134985213
